Category: All categories

Day,gun control: (United States),gun shop: (United States)
2015-12-01,9,9
2015-12-02,13,7
2015-12-03,39,11
2015-12-04,38,12
2015-12-05,30,15
2015-12-06,22,13
2015-12-07,26,13
2015-12-08,24,13
2015-12-09,17,12
2015-12-10,16,13
2015-12-11,17,13
2015-12-12,11,18
2015-12-13,8,13
2015-12-14,13,12
2015-12-15,10,12
2015-12-16,11,11
2015-12-17,9,11
2015-12-18,8,12
2015-12-19,6,17
2015-12-20,6,13
2015-12-21,6,11
2015-12-22,6,12
2015-12-23,5,12
2015-12-24,5,12
2015-12-25,3,11
2015-12-26,3,15
2015-12-27,4,12
2015-12-28,5,13
2015-12-29,4,12
2015-12-30,5,10
2015-12-31,7,14
2016-01-01,11,13
2016-01-02,16,16
2016-01-03,13,11
2016-01-04,25,10
2016-01-05,100,13
2016-01-06,82,12
2016-01-07,36,10
2016-01-08,40,12
2016-01-09,18,14
2016-01-10,12,10
2016-01-11,12,8
2016-01-12,11,9
2016-01-13,12,8
2016-01-14,8,8
2016-01-15,9,10
2016-01-16,6,11
2016-01-17,5,10
2016-01-18,7,9
2016-01-19,8,8
2016-01-20,7,9
2016-01-21,7,9
2016-01-22,8,8
2016-01-23,5,10
2016-01-24,4,10
2016-01-25,7,9
2016-01-26,7,8
2016-01-27,7,8
2016-01-28,8,8
2016-01-29,5,9
2016-01-30,4,12
2016-01-31,4,9
2016-02-01,7,8
