Category: All categories

Day,gun control: (United States),gun shop: (United States)
2012-12-01,2,7
2012-12-02,2,7
2012-12-03,22,5
2012-12-04,15,6
2012-12-05,10,7
2012-12-06,5,6
2012-12-07,4,7
2012-12-08,2,8
2012-12-09,2,7
2012-12-10,4,6
2012-12-11,4,7
2012-12-12,4,7
2012-12-13,4,6
2012-12-14,31,8
2012-12-15,61,13
2012-12-16,37,11
2012-12-17,43,11
2012-12-18,38,15
2012-12-19,42,18
2012-12-20,32,18
2012-12-21,25,16
2012-12-22,20,18
2012-12-23,16,14
2012-12-24,12,11
2012-12-25,8,7
2012-12-26,9,12
2012-12-27,9,12
2012-12-28,10,12
2012-12-29,11,13
2012-12-30,8,11
2012-12-31,8,11
2013-01-01,7,10
2013-01-02,8,9
2013-01-03,12,10
2013-01-04,13,9
2013-01-05,9,11
2013-01-06,11,9
2013-01-07,11,10
2013-01-08,16,9
2013-01-09,26,10
2013-01-10,34,11
2013-01-11,31,11
2013-01-12,19,13
2013-01-13,16,9
2013-01-14,22,10
2013-01-15,38,12
2013-01-16,100,14
2013-01-17,69,14
2013-01-18,39,12
2013-01-19,21,15
2013-01-20,19,10
2013-01-21,16,11
2013-01-22,19,8
2013-01-23,19,8
2013-01-24,20,8
2013-01-25,20,8
2013-01-26,15,12
2013-01-27,16,11
2013-01-28,18,8
2013-01-29,17,8
2013-01-30,19,8
2013-01-31,19,8
2013-02-01,15,8
