Category: All categories

Month,gun control: (United States),gun shop: (United States)
2008-11,19,17
2008-12,10,15
2009-01,8,14
2009-02,11,13
2009-03,11,14
2009-04,14,13
2009-05,10,10
2009-06,5,10
2009-07,5,11
2009-08,5,12
2009-09,7,11
2009-10,9,11
2009-11,10,13
2009-12,7,15
2010-01,7,15
2010-02,7,13
2010-03,9,12
2010-04,9,9
2010-05,7,9
2010-06,4,9
2010-07,3,10
2010-08,2,11
2010-09,4,11
2010-10,6,13
2010-11,6,13
2010-12,4,16
2011-01,10,19
2011-02,7,20
2011-03,7,17
2011-04,7,15
2011-05,5,13
2011-06,3,13
2011-07,3,16
2011-08,3,16
2011-09,4,16
2011-10,5,18
2011-11,6,22
2011-12,5,26
2012-01,5,23
2012-02,6,24
2012-03,6,22
2012-04,6,19
2012-05,4,17
2012-06,3,18
2012-07,15,20
2012-08,7,20
2012-09,7,19
2012-10,10,19
2012-11,13,27
2012-12,64,43
2013-01,100,42
2013-02,50,33
2013-03,38,28
2013-04,62,22
2013-05,24,18
2013-06,10,17
2013-07,8,17
2013-08,7,17
2013-09,14,16
2013-10,14,16
2013-11,13,19
2013-12,11,21
2014-01,11,18
2014-02,12,19
2014-03,12,18
2014-04,12,15
2014-05,11,13
2014-06,9,13
2014-07,6,15
2014-08,5,16
2014-09,7,16
2014-10,11,17
2014-11,11,20
2014-12,8,22
2015-01,8,19
2015-02,8,21
2015-03,9,19
2015-04,9,15
2015-05,8,14
2015-06,11,14
2015-07,9,16
2015-08,10,18
2015-09,10,16
2015-10,37,17
2015-11,17,21
2015-12,32,31
2016-01,42,25
2016-02,15,21
2016-03,14,19
2016-04,12,17
2016-05,9,15
2016-06,41,18
2016-07,14,19
2016-08,7,18
2016-09,10,16
2016-10,14,18
2016-11,14,22
2016-12,7,22
2017-01,7,19
2017-02,8,18
2017-03,7,18
2017-04,6,16
2017-05,6,15
2017-06,5,16
2017-07,3,16
2017-08,3,16
2017-09,4,16
2017-10,28,19
2017-11,17,23
2017-12,8,24
2018-01,6,19
2018-02,25,19
