Category: All categories

Day,gun control: (United States),gun shop: (United States)
2017-09-15,4,12
2017-09-16,2,14
2017-09-17,2,12
2017-09-18,4,10
2017-09-19,5,12
2017-09-20,3,10
2017-09-21,3,11
2017-09-22,3,9
2017-09-23,2,13
2017-09-24,2,11
2017-09-25,3,10
2017-09-26,4,10
2017-09-27,4,9
2017-09-28,2,11
2017-09-29,3,9
2017-09-30,2,14
2017-10-01,3,11
2017-10-02,50,10
2017-10-03,100,14
2017-10-04,83,14
2017-10-05,61,14
2017-10-06,34,17
2017-10-07,21,17
2017-10-08,22,15
2017-10-09,21,13
2017-10-10,18,12
2017-10-11,14,11
2017-10-12,12,11
2017-10-13,11,13
2017-10-14,5,17
2017-10-15,6,15
2017-10-16,10,13
2017-10-17,13,11
2017-10-18,12,11
2017-10-19,13,12
2017-10-20,10,12
2017-10-21,4,16
2017-10-22,7,13
2017-10-23,11,12
2017-10-24,10,15
2017-10-25,11,15
2017-10-26,11,13
2017-10-27,8,13
2017-10-28,3,16
2017-10-29,5,15
2017-10-30,8,15
2017-10-31,9,10
2017-11-01,10,12
2017-11-02,10,14
2017-11-03,8,14
2017-11-04,4,20
2017-11-05,10,17
2017-11-06,36,16
2017-11-07,31,15
2017-11-08,25,16
2017-11-09,20,16
2017-11-10,12,17
2017-11-11,6,20
2017-11-12,7,15
2017-11-13,14,15
2017-11-14,15,15
2017-11-15,14,14
